idMUNICIPIO,NomeM,POP_2010,POP_2013,POP_2014,POP_2015,POP_2016,QTD_IES,IDH_2010,GINI_2010,PIB_2010,PERCAPITA_2010,UF_idUF
1,"Barra De São Miguel",5611,5746,5791,5836,5880,0,0.57200003,0.4553,26723.669,4762.73,15
2,Cambará,23871,24210,24323,24437,24550,0,0.72100002,0.4763,377784.282,15826.08,18
3,"José Gonçalves De Minas",4577,4541,4529,4518,4506,0,0.63200003,0.4157,22119.589,4832.77,11
4,"Ewbank Da Câmara",3752,3795,3810,3824,3838,0,0.67600000,0.3693,21237.870,5660.41,11
5,Amontada,39233,41303,41993,42683,43373,0,0.60600001,0.5633,183179.765,4669.02,6
6,Itá,6427,6326,6292,6259,6225,0,0.77100003,0.4531,199626.695,31060.63,24
7,"Gracho Cardoso",5648,5687,5700,5713,5725,0,0.57700002,0.5784,35169.384,6226.87,25
8,"Ouro Preto Do Oeste",37941,37058,36764,36470,36175,0,0.68199998,0.4947,472349.088,12449.57,21
9,"Bueno Brandão",10892,10880,10876,10872,10868,0,0.65799999,0.4456,97852.965,8983.93,11
10,"Praia 3",7661,7925,8013,8101,8189,0,0.58300000,0.5339,37647.026,4914.11,27
11,"São Domingos Do Capim",29827,30554,30796,31038,31280,0,0.53200001,0.6063,104062.664,3488.87,14
12,"Canaã Dos Carajás",26727,31469,33049,34630,36210,0,0.67299998,0.5686,1559968.168,58366.75,14
13,Cambé,96735,99300,100155,101010,101864,0,0.73400003,0.4231,1439278.976,14878.58,18
14,"Palmeiras De Goiás",23333,24986,25537,26089,26640,0,0.69800001,0.4464,496032.043,21258.82,9
15,Quadra,3236,3412,3470,3529,3587,0,0.67799997,0.4908,48616.928,15023.77,26
16,Montezuma,7472,7742,7832,7922,8011,0,0.58700001,0.4578,32333.062,4327.23,11
17,Cacimbas,6814,6765,6748,6732,6715,0,0.52300000,0.5374,26182.910,3842.52,15
18,"Iporã Do Oeste",8413,8574,8627,8681,8735,0,0.75900000,0.4347,121138.078,14398.92,24
19,Itutinga,3913,3845,3822,3800,3777,0,0.72700000,0.5592,57946.506,14808.72,11
20,"Mundo Novo",17035,17445,17581,17718,17855,0,0.68599999,0.5144,229489.697,13471.66,12
21,"Vila Nova Do Piauí",3076,3127,3144,3161,3178,0,0.56500000,0.6043,14491.997,4711.31,17
22,"Prata Do Piauí",3085,3075,3072,3069,3066,0,0.56500000,0.5616,12338.764,3999.60,17
23,Cajari,18348,19831,20325,20820,21314,0,0.52300000,0.6273,70696.226,3853.08,10
24,Puxinanã,12929,13213,13308,13403,13498,0,0.61699998,0.4575,61013.834,4719.15,15
25,"Bernardino De Campos",10777,10794,10800,10806,10811,0,0.73400003,0.4560,143140.543,13282.04,26
26,"Flora Rica",1752,1625,1582,1540,1497,0,0.72700000,0.4179,32921.687,18790.92,26
27,"Bernardo Sayão",4467,4442,4433,4425,4417,0,0.63800001,0.4364,52725.636,11803.37,27
28,"Reserva Do Iguaçu",7327,7522,7587,7652,7716,0,0.64800000,0.5729,67863.704,9262.14,18
29,Jussara,6613,6707,6739,6770,6801,0,0.71799999,0.4570,150471.257,22753.86,18
30,"São Salvador Do Tocantins",2910,2961,2978,2995,3012,0,0.60500002,0.6203,41926.921,14407.88,27
31,Itapira,68365,69861,70360,70859,71358,1,0.76200002,0.4611,1738168.072,25424.82,26
32,Guaraniaçu,14583,13798,13536,13274,13012,0,0.67699999,0.5452,179228.600,12290.24,18
33,Joaíma,14930,15043,15080,15118,15155,0,0.58700001,0.5385,76506.717,5124.36,11
34,"Boa Ventura",5751,5500,5416,5333,5249,0,0.59899998,0.4612,24186.143,4205.55,15
35,"Pio Xii",22016,20097,19457,18818,18178,0,0.54100001,0.5391,80490.907,3656.02,10
36,Itueta,5836,5895,5914,5934,5953,0,0.63499999,0.5219,49864.879,8544.36,11
37,"Colônia Leopoldina",20022,20781,21034,21287,21539,0,0.51700002,0.5406,111934.989,5590.60,2
38,Florianópolis,421203,444869,452758,460647,468536,1,0.84700000,0.5474,9806533.682,23282.20,24
39,Poconé,31778,32080,32180,32281,32381,0,0.65200001,0.5598,314326.371,9891.32,13
40,Acajutiba,14830,14982,15033,15084,15135,0,0.58200002,0.5791,72116.066,4862.85,5
41,"Jardim De Angicos",2607,2588,2582,2576,2569,0,0.56500000,0.5342,14135.845,5422.27,20
42,"Palmeira Do Piauí",4993,4931,4911,4890,4869,0,0.55699998,0.5967,25399.605,5087.04,17
43,Nonoai,12076,11852,11778,11703,11628,0,0.70200002,0.5068,221527.802,18344.47,23
44,Pejuçara,3973,3908,3887,3865,3843,0,0.74100000,0.4636,115237.426,29005.14,23
45,"Conceição Da Feira",20408,21276,21566,21855,22144,0,0.63400000,0.5738,104357.773,5113.57,5
46,Jacutinga,22797,23935,24314,24694,25073,0,0.71499997,0.4326,298909.751,13111.80,11
47,Poções,44760,44924,44979,45034,45088,0,0.60399997,0.5527,232557.747,5195.66,5
48,"Cerro Largo",13289,13476,13539,13601,13663,0,0.76400000,0.4721,327198.364,24621.74,23
49,Guairaçá,6194,6283,6312,6342,6372,0,0.69300002,0.4548,81245.480,13116.80,18
50,"João Dias",2601,2603,2603,2604,2604,0,0.52999997,0.5572,12597.126,4843.19,20
51,Aracoiaba,25405,25807,25941,26076,26210,0,0.61500001,0.5175,107383.587,4226.87,6
52,Macapá,397913,432295,443755,455216,466676,0,0.73299998,0.6037,5215129.810,13106.21,4
53,Mostardas,12130,12272,12319,12366,12413,0,0.66399997,0.5593,237326.460,19565.25,23
54,Traipu,25710,26391,26618,26846,27073,0,0.53200001,0.6452,77845.369,3027.82,2
55,"Santana Dos Garrotes",7266,7081,7020,6958,6896,0,0.59399998,0.4896,31400.856,4321.62,15
56,"Vila Rica",21403,23149,23731,24313,24895,0,0.68800002,0.5647,291373.020,13613.65,13
57,Santaluz,33816,34674,34960,35247,35533,0,0.59799999,0.4999,147193.263,4352.77,5
58,"Barra Do Mendes",13997,14113,14152,14191,14229,0,0.63000000,0.5775,60071.177,4291.72,5
59,"Coronel João Sá",17066,16286,16026,15767,15507,0,0.53500003,0.4883,104720.361,6136.20,5
60,"Senador Georgino Avelino",3924,4111,4173,4235,4297,0,0.56999999,0.4493,21601.723,5505.03,20
61,"Nicolau Vergueiro",1721,1694,1685,1676,1666,0,0.75300002,0.5288,49538.737,28784.86,23
62,"Presidente Kennedy",10315,10543,10619,10695,10771,0,0.65700001,0.4958,1607332.884,155824.81,8
63,Chapada,9377,9266,9229,9193,9156,0,0.75700003,0.4629,211682.630,22574.66,23
64,Lapão,25651,25928,26021,26113,26205,0,0.59600002,0.5264,119886.611,4673.76,5
65,"Nova Cantu",7425,6678,6429,6181,5932,0,0.65799999,0.4820,82869.686,11160.90,18
66,"São Felipe",20305,20328,20336,20344,20351,0,0.61600000,0.5101,91891.473,4525.56,5
67,"Piedade Dos Gerais",4645,4756,4793,4831,4868,0,0.62599999,0.4856,30807.527,6632.41,11
68,"Coronel Pilar",1725,2243,2415,2588,2760,0,0.72700000,0.3748,30298.646,17564.43,23
69,"Aparecida Do Rio Negro",4213,4422,4491,4561,4631,0,0.65100002,0.4878,39482.578,9371.61,27
70,"Rosário Do Catete",9222,9858,10070,10282,10494,0,0.63099998,0.5148,408004.227,44242.49,25
71,"São João Da Ponta",5265,5634,5757,5880,6003,0,0.58300000,0.5377,19258.415,3657.82,14
